Student_ID,Event_Name,Rating (1-5),Would_Recommend,Feedback,Venue,Mode,Duration_hours
1,Science Fair 2025,5,Yes,Workshops were insightful and engaging.,Hall B,Offline,3
2,Sports Meet 2025,2,Yes,Event started late and schedule was confusing.,Hall B,Offline,4
3,Sports Meet 2025,3,No,Okay experience for a first-time attendee.,Conference Room D,Offline,4
4,Cultural Fest 2025,1,No,Lunch quality could be better.,Hall B,Online,2
5,Cultural Fest 2025,3,Yes,"Event was okay, nothing special.",Hall B,Offline,4
6,Cultural Fest 2025,1,Yes,Not enough Q&A time after sessions.,Open Air Theater,Offline,4
7,Sports Meet 2025,2,Yes,Not enough seating arrangements for attendees.,Ground C,Offline,2
8,Cultural Fest 2025,4,Yes,Workshops were insightful and engaging.,Auditorium A,Hybrid,5
9,Startup Summit 2025,5,Yes,Great networking opportunities and very well organized.,Open Air Theater,Online,3
10,Science Fair 2025,2,No,Guest lectures were boring and repetitive.,Auditorium A,Offline,2
11,Cultural Fest 2025,2,No,Too crowded and noisy.,Ground C,Online,3
12,Startup Summit 2025,5,Yes,"Wonderful experience, looking forward to next year.",Ground C,Hybrid,4
13,TechFest 2025,1,Yes,Event started late and schedule was confusing.,Hall B,Hybrid,5
14,Startup Summit 2025,4,Yes,Enjoyed the cultural programs and games.,Open Air Theater,Offline,3
15,Science Fair 2025,4,Yes,Superb management and quality content.,Hall B,Hybrid,5
16,Cultural Fest 2025,1,No,Sessions were too long and lacked interaction.,Open Air Theater,Online,3
17,Cultural Fest 2025,4,Yes,Superb management and quality content.,Auditorium A,Hybrid,5
18,Cultural Fest 2025,5,Yes,Excellent guest lectures and interactive sessions.,Auditorium A,Hybrid,2
19,Cultural Fest 2025,4,Yes,Superb management and quality content.,Ground C,Offline,4
20,Cultural Fest 2025,3,No,Okay experience for a first-time attendee.,Open Air Theater,Online,6
21,Cultural Fest 2025,2,Yes,Sound system had frequent issues.,Auditorium A,Online,4
22,Science Fair 2025,2,Yes,Not enough Q&A time after sessions.,Conference Room D,Online,3
23,Cultural Fest 2025,2,No,Not enough Q&A time after sessions.,Conference Room D,Hybrid,2
24,Sports Meet 2025,1,Yes,Not enough Q&A time after sessions.,Conference Room D,Hybrid,6
25,Cultural Fest 2025,2,No,Guest lectures were boring and repetitive.,Auditorium A,Online,6
26,Sports Meet 2025,3,Yes,The day went smoothly but could be improved.,Ground C,Offline,4
27,Cultural Fest 2025,1,No,Event started late and schedule was confusing.,Open Air Theater,Hybrid,3
28,Sports Meet 2025,1,No,Poor time management and technical issues during presentations.,Auditorium A,Offline,4
29,Sports Meet 2025,5,Yes,"Wonderful experience, looking forward to next year.",Conference Room D,Offline,3
30,Science Fair 2025,5,Yes,Great networking opportunities and very well organized.,Open Air Theater,Hybrid,6
31,Startup Summit 2025,4,Yes,Enjoyed the cultural programs and games.,Conference Room D,Offline,3
32,Cultural Fest 2025,5,Yes,Excellent guest lectures and interactive sessions.,Conference Room D,Online,3
33,Sports Meet 2025,5,Yes,The event exceeded my expectations.,Auditorium A,Hybrid,5
34,Science Fair 2025,4,Yes,Enjoyed the cultural programs and games.,Hall B,Online,4
35,Science Fair 2025,2,No,Workshops were rushed and lacked depth.,Open Air Theater,Hybrid,4
36,TechFest 2025,5,Yes,Workshops were insightful and engaging.,Conference Room D,Offline,2
37,Cultural Fest 2025,2,No,Sound system had frequent issues.,Conference Room D,Hybrid,6
38,Cultural Fest 2025,5,Yes,Good coordination and helpful volunteers.,Open Air Theater,Hybrid,6
39,Cultural Fest 2025,5,Yes,The event exceeded my expectations.,Open Air Theater,Online,4
40,Startup Summit 2025,5,Yes,Excellent guest lectures and interactive sessions.,Open Air Theater,Hybrid,5
41,Cultural Fest 2025,1,No,Sessions were too long and lacked interaction.,Open Air Theater,Hybrid,3
42,Startup Summit 2025,3,Yes,Overall fine but needs better planning.,Hall B,Offline,3
43,Startup Summit 2025,2,Yes,Too crowded and noisy.,Hall B,Hybrid,6
